link,date_found,type,district,price,area,access,utilities,status
https://www.developerscyprus.com/properties/agricultural-land-for-sale-agia-marina-xyliatou-nicosia-18487/,2026-07-21,agricultural land,Nicosia,€10000,4014 m²,"abuts two registered roads (135m + 25m frontage)",none confirmed,Нова
https://www.developerscyprus.com/properties/agricultural-land-for-sale-ora-larnaca-18522/,2026-07-21,agricultural land,Larnaca,€20000,5203 m²,"abuts main road Lageia-Ora (14m frontage)",none confirmed,Нова
https://www.developerscyprus.com/properties/agricultural-land-for-sale-pigenia-nicosia-18558/,2026-07-27,agricultural land,Nicosia,€3000,"1324 m² (33% undivided share of 4014 m²)","abuts registered road (140m frontage)",none confirmed,Нова
https://www.developerscyprus.com/properties/agricultural-land-for-sale-pigenia-nicosia-18559/,2026-07-27,agricultural land,Nicosia,€3000,"1672.5 m² (50% undivided share of 3345 m²)","abuts registered road (72m frontage)",none confirmed,Нова
https://www.altamirarealestate.com.cy/field-for-sale/residential/nicosia/nicosia-municipality/pr40096/128582/1,2026-08-02,residential plot (1/3 undivided share),Nicosia,€13000,"407 m² (whole plot; 1/3 share offered)","right of way easements (2, 3.00-3.66m wide)",none confirmed,Нова
https://www.altamirarealestate.com.cy/field-for-sale/industrial/larnaca/aradippou/pr43799/132687/1,2026-08-02,agricultural/industrial-zoned land (1/10 undivided share),Larnaca,€16000,"938 m² (1/10 share of 9377 m²)","abuts registered road (~25m frontage)",none confirmed,Нова
https://www.altamirarealestate.com.cy/larnaca/aradippou/fields--share---aradippou--larnaca/cg11165/89316/1,2026-08-02,agricultural land share (PR41639),Larnaca,€11000,2945 m²,unregistered road access,none confirmed,Нова
https://www.altamirarealestate.com.cy/larnaca/aradippou/fields--share---aradippou--larnaca/cg11165/89316/1,2026-08-02,agricultural land share (PR41640),Larnaca,€15000,7674 m²,unregistered road access,none confirmed,Нова
https://www.altamirarealestate.com.cy/larnaca/aradippou/fields--share---aradippou--larnaca/cg11165/89316/1,2026-08-02,agricultural land share (PR41638),Larnaca,€17000,7161 m²,unregistered road access,none confirmed,Нова
https://www.altamirarealestate.com.cy/nicosia/nicosia-municipality/fields---share----panagia--nicosia/cg10706/81599/1,2026-08-03,"residential field share (PR38590, UN Buffer Zone)",Nicosia,€20000,6838 m²,"access to connecting roads (not landlocked); UN Buffer Zone location",none confirmed,Нова
https://www.altamirarealestate.com.cy/larnaca/voroklini/field--share----voroklini--larnaca/cg11329/93856/1,2026-08-03,agricultural field share (PR45272),Larnaca,€15000,9646 m²,"access to Larnaca-Agia Napa road (not landlocked)",none confirmed,Нова
https://www.altamirarealestate.com.cy/field-for-sale/agricultural/larnaca/aradippou/pr36325/126042/1,2026-08-03,agricultural land share (PR36325),Larnaca,€16000,"2507 m² (share of 6038 m²)","right of way per title deed",none confirmed,Нова
https://www.altamirarealestate.com.cy/larnaca/troulloi/fields--shares----troulloi--nicosia/cg11191/90665/1,2026-08-03,"residential field share (PR43069, UN Buffer Zone)",Larnaca,€800,335 m²,"access to motorway/community centre (not landlocked); UN Buffer Zone location",none confirmed,Нова
https://www.altamirarealestate.com.cy/larnaca/troulloi/fields--shares----troulloi--nicosia/cg11191/90665/1,2026-08-03,"residential field share (PR43070, UN Buffer Zone)",Larnaca,€2000,669 m²,"access to motorway/community centre (not landlocked); UN Buffer Zone location",none confirmed,Нова
https://www.altamirarealestate.com.cy/larnaca/troulloi/fields--shares----troulloi--nicosia/cg11191/90665/1,2026-08-03,"residential field share (PR43066, UN Buffer Zone)",Larnaca,€3000,1004 m²,"access to motorway/community centre (not landlocked); UN Buffer Zone location",none confirmed,Нова
https://www.altamirarealestate.com.cy/larnaca/troulloi/fields--shares----troulloi--nicosia/cg11191/90665/1,2026-08-03,"residential field share (PR43067, UN Buffer Zone)",Larnaca,€8000,3252 m²,"access to motorway/community centre (not landlocked); UN Buffer Zone location",none confirmed,Нова
https://www.altamirarealestate.com.cy/larnaca/troulloi/fields--shares----troulloi--nicosia/cg11191/90665/1,2026-08-03,"residential field share (PR43068, UN Buffer Zone)",Larnaca,€9000,3661 m²,"access to motorway/community centre (not landlocked); UN Buffer Zone location",none confirmed,Нова
https://www.developerscyprus.com/properties/agricultural-land-for-sale-vavla-larnaca-18524/,2026-08-05,agricultural land,Larnaca,€22000,9700 m²,"600m from Vavla-Lageia road; close proximity to registered road",none confirmed,Нова
https://www.developerscyprus.com/properties/agricultural-land-for-sale-vavla-larnaca-18514/,2026-08-05,agricultural land (50% undivided share),Larnaca,€10000,"9031 m² (50% share, ~4515 m² corresponding)",170m from Choirokitia-Ora road,none confirmed,Нова
https://www.developerscyprus.com/properties/agricultural-land-for-sale-kalo-chorio-oreinis-nicosia-18294/,2026-08-07,agricultural land,Nicosia,€17500,2676 m²,80m from Lakatamia-Agros road,none confirmed,Нова
https://www.developerscyprus.com/properties/agricultural-land-for-sale-kalo-chorio-oreinis-nicosia-18500/,2026-08-07,agricultural land,Nicosia,€6500,1487 m²,360m from Lakatamia-Agros road,none confirmed,Нова
https://www.developerscyprus.com/properties/agricultural-land-for-sale-orounta-nicosia-18209/,2026-08-07,agricultural land,Nicosia,€19000,5352 m²,115m from nearest registered road,none confirmed,Нова
https://www.developerscyprus.com/properties/agricultural-land-for-sale-palaiometocho-nicosia-18512/,2026-08-07,agricultural land,Nicosia,€7000,1462 m²,130m from nearest registered dirt road,none confirmed,Нова
https://www.developerscyprus.com/properties/agricultural-land-for-sale-platanistasa-nicosia-18511/,2026-08-07,agricultural land,Nicosia,€5400,3326 m²,200m from main road to Polistipos,none confirmed,Нова
https://www.developerscyprus.com/properties/agricultural-land-for-sale-lythrodontas-nicosia-18287/,2026-08-07,agricultural land,Nicosia,€17000,8027 m²,400m from nearest registered road,none confirmed,Нова
